Sport,PlayerRank,PlayerName,PlayerHomeTown,RankingAvailable,AltertivePlayerlink
Football,1,Arch Manning,"Isidore NewmanNew Orleans, LA",https://www.on3.com/college/texas-longhorns/football/2023/industry-comparison-commits/,
Football,2,Caleb Williams,"Gonzaga Washington, DC",https://www.on3.com/college/usc-trojans/football/2023/industry-comparison-commits/,
Football,3,Travis Hunter,"Collins HillSuwanee, GA",https://www.on3.com/college/colorado-buffaloes/football/2023/industry-comparison-commits/,
Football,4,Shedeur Sanders,"Trinity Christian SchoolCedar Hill, TX",https://www.on3.com/college/colorado-buffaloes/football/2023/industry-comparison-commits/,
Football,5,Drake Maye,"Myers ParkCharlotte, NC",https://www.on3.com/college/north-caroli-tar-heels/football/2023/industry-comparison-commits/,
Football,6,Bo Nix,"Scottsboro SchPinson, AL",https://www.on3.com/college/oregon-ducks/football/2023/industry-comparison-commits/,
Football,7,Marvin Harrison Jr.,"St. Joseph's Prep SchoolPhiladelphia, PA",https://www.on3.com/college/ohio-state-buckeyes/football/2023/industry-comparison-commits/,
Football,8,Michael Penix Jr.,"Tampa Bay TechTampa, FL",https://www.on3.com/college/washington-huskies/football/2023/industry-comparison-commits/,
Football,9,Nico Iamaleava,"WarrenLong Beach, CA",https://www.on3.com/nil/athlete-network/,
Football,10,Jordan Travis,"The Benjamin SchoolNorth Palm Beach, FL",https://www.on3.com/college/florida-state-seminoles/football/2023/industry-comparison-commits/,
Football,11,Xavier Worthy,"Central EastFresno, CA",https://www.on3.com/college/texas-longhorns/football/2023/industry-comparison-commits/,
Football,12,Sam Hartman,"Oceanside Collegiate AcademyMount Pleasant, SC",https://www.on3.com/college/notre-dame-fighting-irish/football/2023/industry-comparison-commits/,
Football,13,Blake Corum,"St. Frances AcademyLaurel, MD",https://www.on3.com/college/michigan-wolverines/football/2023/industry-comparison-commits/,
Football,14,Spencer Rattler,"PinnaclePhoenix, AZ",https://www.on3.com/college/south-caroli-gamecocks/football/2023/industry-comparison-commits/,
Football,15,Emeka Egbuka,"SteilacoomSteilacoom, WA",https://www.on3.com/college/ohio-state-buckeyes/football/2023/industry-comparison-commits/,
Football,16,Quinshon Judkins,"Pike RoadPike Road, AL",https://www.on3.com/college/ole-miss-rebels/football/2023/industry-comparison-commits/,
Football,17,Malachi Nelson,"Los AlamitosLos Alamitos, CA",https://www.on3.com/college/usc-trojans/football/2023/industry-comparison-commits/,
Football,18,Evan Stewart,"LibertyFrisco, TX",https://www.on3.com/college/texas-am-aggies/football/2023/industry-comparison-commits/,
Football,19,Dante Moore,"Martin Luther KingDetroit, MI",https://www.on3.com/college/ucla-bruins/football/2023/industry-comparison-commits/,
Football,20,Nick Singleton,"Governor MifflinReading, PA",https://www.on3.com/college/penn-state-nittany-lions/football/2023/industry-comparison-commits/,
Football,21,Jayden Daniels,"CajonSan Bernardino, CA",https://www.on3.com/college/lsu-tigers/football/2023/industry-comparison-commits/,
Football,22,Jared Verse,"Central ColumbiaBloomsburg, PA",https://www.on3.com/college/florida-state-seminoles/football/2023/industry-comparison-commits/,
Football,23,J.J. McCarthy,"IMG AcademyLa Grange Park, IL",https://www.on3.com/college/michigan-wolverines/football/2023/industry-comparison-commits/,
Football,24,Laiatu Latu,"JesuitCarmichael, CA",https://www.on3.com/college/ucla-bruins/football/2023/industry-comparison-commits/,
Football,25,Cameron Rising,"Newbury ParkNewbury Park, CA",,https://www.on3.com/db/cameron-rising-18045/nil/
Football,26,Bralen Trice,"Sandra Day O'connorGlendale, AZ",https://www.on3.com/college/washington-huskies/football/2023/industry-comparison-commits/,
Football,27,Jackson Arnold,"GuyerDenton, TX",https://www.on3.com/college/oklahoma-sooners/football/2023/industry-comparison-commits/,
Football,28,J.T. Tuimoloau,"Eastside CatholicSammamish, WA",https://www.on3.com/college/ohio-state-buckeyes/football/2023/industry-comparison-commits/,
Football,29,TreVeyon Henderson,"HopewellHopewell, VA",https://www.on3.com/college/ohio-state-buckeyes/football/2023/industry-comparison-commits/,
Football,30,Kool-Aid McKinstry,"Pinson ValleyPinson, AL",https://www.on3.com/college/alabama-crimson-tide/football/2023/industry-comparison-commits/,
Football,31,Rome Odunze,"Bishop GormanLas Vegas, NV",https://www.on3.com/college/washington-huskies/football/2023/industry-comparison-commits/,
Football,32,Raheim Sanders,"RockledgeRockledge, FL",https://www.on3.com/college/arkansas-razorbacks/football/2023/industry-comparison-commits/,
Football,33,Jarquez Hunter,"Neshoba CentralPhiladelphia, MS",https://www.on3.com/college/auburn-tigers/football/2023/industry-comparison-commits/,
Football,34,Miyan Williams,"Winton WoodsCincinnati, OH",https://www.on3.com/college/ohio-state-buckeyes/football/2023/industry-comparison-commits/,
Football,35,Malik Nabers,"SouthsideYoungsville, LA",https://www.on3.com/college/lsu-tigers/football/2023/industry-comparison-commits/,
Football,36,Brock Bowers,"NapaNapa, CA",https://www.on3.com/college/georgia-bulldogs/football/2023/industry-comparison-commits/,
Football,37,Zachariah Branch,"Bishop GormanLas Vegas, NV",https://www.on3.com/college/usc-trojans/football/2023/industry-comparison-commits/,
Football,38,Chop Robinson,"Quince OrchardGaithersburg, MD",https://www.on3.com/college/penn-state-nittany-lions/football/2023/industry-comparison-commits/,
Football,39,Bucky Irving,"HillcrestCountry Club Hills, IL",https://www.on3.com/college/oregon-ducks/football/2023/industry-comparison-commits/,
Football,40,Ainias Smith,"DullesSugar Land, TX",https://www.on3.com/college/texas-am-aggies/football/2023/industry-comparison-commits/,
Football,41,Caleb Downs,"Mill CreekHoschton, GA",https://www.on3.com/college/alabama-crimson-tide/football/2023/industry-comparison-commits/,
Football,42,Braelon Allen,"Fond Du LacFond Du Lac, WI",https://www.on3.com/college/wisconsin-badgers/football/2023/industry-comparison-commits/,
Football,43,KJ Jefferson,"North PanolaSardis, MS",https://www.on3.com/college/arkansas-razorbacks/football/2023/industry-comparison-commits/,
Football,44,Quinn Ewers,"Southlake CarrollSouthlake, TX",https://www.on3.com/college/texas-longhorns/football/2023/industry-comparison-commits/,
Football,45,Donovan Ezeiruaku,"WilliamstownWilliamstown, NJ",https://www.on3.com/college/boston-college-eagles/football/2023/industry-comparison-commits/,
Football,46,Shilo Sanders,"Trinity Christian SchoolCedar Hill, TX",,https://www.on3.com/db/shilo-sanders-107260/nil/
Football,47,Trey Benson,"St JosephGreenville, MS",https://www.on3.com/college/florida-state-seminoles/football/2023/industry-comparison-commits/,
Football,48,Donovan Edwards,"West BloomfieldWest Bloomfield, MI",https://www.on3.com/college/michigan-wolverines/football/2023/industry-comparison-commits/,
Football,49,Jacob Cowing,"MaricopaMaricopa, AZ",https://www.on3.com/college/arizo-wildcats/football/2023/industry-comparison-commits/,
