Sport,PlayerRank,PlayerName,PlayerHomeTown,StarRating,PlayerPosition,PlayerStatus,TotalFollowersOnSocialMedia,On3NilValuation,RankingAvailable,AlternativePlayerlink
Football,1,Arch Manning,"Isidore NewmanNew Orleans, LA",99.53,QB,FR,249K,$3.8M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/texas-longhorns/football/2023/industry-comparison-commits/""><img alt=""texas longhorns Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/276/150/150276.svg"" title=""texas longhorns"" width=""30""/></a>",NA
Football,2,Caleb Williams,"Gonzaga Washington, DC",98.76,QB,JR,277K,$2.6M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/usc-trojans/football/2021/industry-comparison-commits/""><img alt=""usc trojans Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/306/150/150306.svg"" title=""usc trojans"" width=""30""/></a>",NA
Football,3,Travis Hunter,"Collins HillSuwanee, GA",99.56,CB,SO,1.3M,$1.7M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/colorado-buffaloes/football/2022/industry-comparison-commits/""><img alt=""colorado buffaloes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/889/149/149889.svg"" title=""colorado buffaloes"" width=""30""/></a>",NA
Football,4,Shedeur Sanders,"Trinity Christian SchoolCedar Hill, TX",89.16,QB,SO,1.4M,$1.5M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/colorado-buffaloes/football/2021/industry-comparison-commits/""><img alt=""colorado buffaloes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/889/149/149889.svg"" title=""colorado buffaloes"" width=""30""/></a>",NA
Football,5,Drake Maye,"Myers ParkCharlotte, NC",96.11,QB,,63K,$1.5M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/north-carolina-tar-heels/football/2021/industry-comparison-commits/""><img alt=""north carolina tar heels Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/102/150/150102.svg"" title=""north carolina tar heels"" width=""30""/></a>",NA
Football,6,Bo Nix,"Scottsboro SchPinson, AL",96.61,QB,SR,188K,$1.5M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/oregon-ducks/football/2019/industry-comparison-commits/""><img alt=""oregon ducks Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/136/150/150136.svg"" title=""oregon ducks"" width=""30""/></a>",NA
Football,7,Marvin Harrison Jr.,"St. Joseph's Prep SchoolPhiladelphia, PA",95.08,WR,JR,356K,$1.3M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/ohio-state-buckeyes/football/2021/industry-comparison-commits/""><img alt=""ohio state buckeyes Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/126/150/150126.svg"" title=""ohio state buckeyes"" width=""30""/></a>",NA
Football,8,Michael Penix Jr.,"Tampa Bay TechTampa, FL",87.40,QB,,41K,$1.3M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/washington-huskies/football/2018/industry-comparison-commits/""><img alt=""washington huskies Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/343/150/150343.svg"" title=""washington huskies"" width=""30""/></a>",NA
Football,9,Nico Iamaleava,"WarrenLong Beach, CA",99.01,QB,FR,331K,$1.2M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/nil/athlete-network/""><svg fill=""none"" height=""1em"" viewbox=""0 0 16 19"" width=""1em"" xmlns=""http://www.w3.org/2000/svg""><path d=""M.005 3.13 7.475 0l7.47 3.13c.029.129.044.116.05.09.007-.025.006-.062 0 0-.012.154-.05.937-.05 4.133 0 5.884-4.928 9.857-7.47 11.109-6.22-2.88-7.571-8.605-7.47-11.109V3.13Z"" fill=""#29F085""></path><path d=""M10.448 12h1.25l-2.86-6.51c-.14-.3-.3-.57-.49-.79-.19-.22-.47-.33-.85-.33-.39 0-.68.12-.86.35-.18.23-.35.52-.51.88L3.298 12h1.23l.86-2.02h4.2l.86 2.02Zm-3.26-6.26c.05-.12.1-.2.14-.24.04-.04.1-.06.16-.06s.11.03.16.07c.04.04.09.12.14.24l1.35 3.17h-3.3l1.35-3.18Z"" fill=""#3B4147""></path></svg></a>",NA
Football,10,Jordan Travis,"The Benjamin SchoolNorth Palm Beach, FL",85.00,QB,,117K,$1.2M,"<a class=""MuiTypography-root MuiLink-root MuiLink-underlineHover MuiTypography-colorPrimary"" href=""/college/florida-state-seminoles/football/2018/industry-comparison-commits/""><img alt=""florida state seminoles Avatar"" class=""NilPlayerRankingItem_statusLogo__h2SDo"" height=""30"" loading=""lazy"" src=""https://on3static.com/uploads/assets/936/149/149936.svg"" title=""florida state seminoles"" width=""30""/></a>",NA
